txn_id,txn_date,amount,direction,narration,channel,reference_number
TXN-041,17-08-2026,20000,credit,"NEFT Part payment LALL, TELLA AND GOKHALE ENTERPRISES INV-041 first installment",NEFT,UTR20260800042
TXN-042,19-08-2026,40000,credit,"NEFT Part payment LALL, TELLA AND GOKHALE ENTERPRISES INV-041 second installment",NEFT,UTR20260800043
TXN-043,18-08-2026,30000,credit,"NEFT Part payment CHERIAN, MISRA AND TRIPATHI INDUSTRIES INV-042 first installment",NEFT,UTR20260800044
TXN-044,20-08-2026,30000,credit,"NEFT Part payment CHERIAN, MISRA AND TRIPATHI INDUSTRIES INV-042 second installment",NEFT,UTR20260800045
TXN-045,22-08-2026,30000,credit,"NEFT Part payment CHERIAN, MISRA AND TRIPATHI INDUSTRIES INV-042 final installment",NEFT,UTR20260800046
TXN-046,19-08-2026,75000,credit,"NEFT Part payment ISSAC, DUA AND PRAKASH TRADING CO INV-043 first installment",NEFT,UTR20260800047
TXN-047,21-08-2026,75000,credit,"NEFT Part payment ISSAC, DUA AND PRAKASH TRADING CO INV-043 second installment",NEFT,UTR20260800048
TXN-048,20-08-2026,35000,credit,NEFT Part payment ZACHARIA PLC INDUSTRIES INV-044 first installment,NEFT,UTR20260800049
TXN-049,22-08-2026,45000,credit,NEFT Part payment ZACHARIA PLC INDUSTRIES INV-044 second installment,NEFT,UTR20260800050
TXN-050,21-08-2026,40000,credit,NEFT Part payment NAIK TRADING CO INV-045 first installment,NEFT,UTR20260800051
TXN-051,23-08-2026,80000,credit,NEFT Part payment NAIK TRADING CO INV-045 second installment,NEFT,UTR20260800052
TXN-052,23-08-2026,100000,credit,RTGS Batch payout CHOUDHURY ASSOCIATES INV-046 INV-047,RTGS,UTR20260800053
TXN-053,24-08-2026,120000,credit,RTGS Batch payout KHATRI-BHARDWAJ LOGISTICS INV-048 INV-049 INV-050,RTGS,UTR20260800054
TXN-054,25-08-2026,145000,credit,RTGS Batch payout BRAR LOGISTICS INV-051 INV-052,RTGS,UTR20260800055
TXN-055,26-08-2026,150000,credit,"RTGS Batch payout SUNDER, BISWAS AND WALIA TECHNOLOGIES INV-053 INV-054",RTGS,UTR20260800056
TXN-056,23-08-2026,35000,credit,IMPS Partial advance payment DAVE LTD LOGISTICS on INV-055,IMPS,UTR20260800057
TXN-057,24-08-2026,50000,credit,IMPS Partial advance payment GANDHI-LANKA PVT LTD on INV-056,IMPS,UTR20260800058
TXN-058,25-08-2026,80000,credit,"IMPS Partial advance payment SAMPATH, KAKAR AND ZACHARIA PVT LTD on INV-057",IMPS,UTR20260800059
TXN-059,26-08-2026,45000,credit,"IMPS Partial advance payment IYER, MUNI AND RASTOGI ENTERPRISES on INV-058",IMPS,UTR20260800060
TXN-060,25-08-2026,50000,credit,"NEFT payment from PRAKASH, SARMA AND VARUGHESE TECHNOLOGIES INV-059",NEFT,UTR20260800061
TXN-061,29-08-2026,15000,debit,"Refund issued to PRAKASH, SARMA AND VARUGHESE TECHNOLOGIES",NEFT,UTR20260800062
TXN-062,26-08-2026,80000,credit,NEFT payment from DARA-KOTA LOGISTICS INV-060,NEFT,UTR20260800063
TXN-063,30-08-2026,20000,debit,Refund issued to DARA-KOTA LOGISTICS,NEFT,UTR20260800064
TXN-064,27-08-2026,120000,credit,NEFT payment from BHATT INDUSTRIES INV-061,NEFT,UTR20260800065
TXN-065,31-08-2026,30000,debit,Refund issued to BHATT INDUSTRIES,NEFT,UTR20260800066
TXN-066,28-08-2026,48500,credit,NEFT payment ARORA LOGISTICS SOLUTIONS settlement,NEFT,UTR20260800067
TXN-067,29-08-2026,92000,credit,RTGS SINGHAL SOFTWARE TECH payment,NEFT,UTR20260800068
TXN-068,30-08-2026,75000,credit,NEFT POOJA TEXTILES LTD payment,NEFT,UTR20260800069
TXN-069,24-09-2026,49560,credit,NEFT delayed settlement KARPE PLC PVT LTD UTR20260800500,NEFT,UTR20260800500
TXN-070,25-09-2026,103840,credit,NEFT delayed settlement AMBLE ENTERPRISES UTR20260800501,NEFT,UTR20260800501
TXN-071,26-09-2026,153400,credit,"NEFT delayed settlement BHARGAVA, KARNIK AND BIR SUPPLIERS UTR20260800502",NEFT,UTR20260800502
TXN-072,31-08-2026,15,credit,Bank interest credit Q2,NEFT,
TXN-073,01-09-2026,50,credit,Savings account interest credit,NEFT,
TXN-074,02-09-2026,25000,credit,Unidentified deposit from unknown party,IMPS,
TXN-075,03-09-2026,99999,credit,Direct transfer without billing ref,RTGS,
TXN-076,26-08-2026,68000,credit,NEFT payment from OBEROI LOGISTICS GROUP,NEFT,UTR20260800077
TXN-077,27-08-2026,68000,credit,NEFT payment from OBEROI LOGISTICS GROUP,NEFT,UTR20260800078
